id;nationalite;date_naissance;lieu_naissance;numero_p;numero_s
1;Malagasy Ariary;2021-03-14;Rustic;Upgradable;virtual
2;Industrial Paradigm SCSI;2021-03-14;functionalities Arizona;Centralized Arizona;Peso Uruguayo Uruguay Peso en Unidades Indexadas Health Awesome Concrete Towels
3;UAE Dirham payment;2021-03-13;Australia Gorgeous;Unbranded Frozen;Cedi firewall payment
4;Games GB;2021-03-14;Checking Account generate generate;Rubber;Security withdrawal Lock
5;azure Coordinator Markets;2021-03-14;Handmade;vertical Handmade Cotton Pants;backing up redundant
6;ubiquitous Checking Account utilize;2021-03-14;transmit;target collaboration;Assimilated
7;incubate Operations;2021-03-14;Electronics Pula Borders;withdrawal;definition JSON compressing
8;Fish;2021-03-14;compress Salad;channels benchmark;Rustic Frozen Hat mesh
9;SDD JBOD;2021-03-14;Toys;Oregon 4th generation Kwanza;Supervisor Integration
10;French Polynesia input Balanced;2021-03-14;Plastic Metal interface;innovative Roads innovative;Auto Loan Account International
